location;name
ADMIN;
ADPRO;Administració Producció
ALDEA;Aldea
AROCA;Agustín Roca
AT01A;Tram entre CRT04-ATT01
AT01B;Tram entre ATT01-ATT02
AT01C;Tram entre ATT02-ATT03
AT01D;Tram entre ATT03-ATT04
AT01E;Tram entre ATT04-PVB04
AT02A;Tram entre ATT03-SCT03
AT03A;Tram entre ATT01-ATT31
AT03B;Tram entre ATT31-ATD01
AT03C;Tram entre ATT31-ATD02
AT03D;Tram entre ATD02-ATD03
AT04A;Tram entre ATT04-ATD04
AT05A;Tram entre ATT02-ATT51
AT05B;Tram entre ATT51-ATT52
AT05C;Tram entre ATT51-ATD05
AT05D;Tram entre ATT52-ATD06
AT05E;Tram entre ATT52-ATD07
AT05F;Tram entre ATT52-ATD03
ATC01;Consum Carburos Metálicos, RQ
ATC02;Consum DOW, R.Pet
ATC03;Consum Messer Iber. el Morell,RQ
ATD01;Dipòsit Repsol Química 2
ATD02;Dipòsit Repsol Química 1
ATD03;Dipòsit Carburos Messer
ATD04;Dipòsit Immo-Habitat
ATD05;Dipòsit PP10 El Morell
ATD06;Dipòsit Ecoplanta El Morell
ATD07;Dipòsit Carburos Metálicos
ATT01;Terciària Ramal Repsol Química
ATT02;Terciària Carburos Metálicos
ATT03;Terciària derivació anell tancament
ATT04;Terciària Immo-Habitat
ATT31;Subterciària Repsol Química 2
ATT51;Terciària PP10 El Morell
ATT52;Terciària Ecoplanta
BCOLL;Begonya Coll
BP01A;Tram entre CCT31-BPB19
BP01B;Tram entre BPB19-BPT01
BP01C;Tram entre BPT01-BPD01
BP02A;Tram entre BPT01-BPD02
BP03A;Tram entre BPB25-BPT02
BP03B;Tram entre BPT02-BPT03
BP03C;Tram entre BPT03-BPT05
BP03D;Tram entre BPT05-BPT06
BP04A;Tram entre PBT05-BPT07
BP04B;Tram entre BPT07-BPT08
BP05A;Tram entre BPT02-BPD03 (futur)
BP06A;Tram entre BPT03-BPD04
BP07A;Tram entre BPT06-BPD05
BP08A;Tram entre BPT06-BPD06
BP09A;Tram entre BPT07-BPD09
BP10A;Tram entre BPT08-BPD10
BP11A;Tram entre BPT08-BPD11
BP12A;Tram entre BPT09-BPD14
BPB19;Estació Bombament Masia La Font EB-19
BPB25;Estació Bombament Baronia del Mar EB-25
BPC01;Consum La Papiola
BPD01;Dipòsits Reguladors Baronia del Mar
BPD02;Dipòsit Pla de Cranc
BPD03;"Dipòsit S. Oliva ""Molí d'en Serra"""
BPD04;"Dipòsit Albinyana ""La Papiola"""
BPD05;Dipòsit S. Oliva-Idiada
BPD06;Dipòsit S. Oliva P.I.
BPD09;Dipòsit Regulador S. Jaume dels Domenys
BPD10;Dipòsit Llorenç del Penedès P.I.
BPD11;Dipòsit Banyeres nucli
BPD12;Dipòsit Municipal S. Jaume dels Domenys
BPD13;Dipòsit Municipal Baronia del Mar
BPD14;Dipòsit El Vendrell (La Papiola)
BPS01;Secc. 28277 Baix Penedès 1a Fase
BPS02;Secc. 28274 Baix Penedès 1a Fase
BPS03;Secc. 28282 Pas FFCC Baix Penedès 2a Fase
BPS04;Secc. 28544 Pas FFCC Baix Penedès 2a Fase
BPS05;Secc. 28283 Pas FFCC AVE Baix Penedès 2a Fase
BPS06;Secc. 28543 Pas FFCC AVE Baix Penedès 2a Fase
BPS07;Secc. 28336 Pas AP7 Baix Penedès 3a Fase
BPT01;Terciària Baronia del Mar/Pla del Cranc
